crf,preset,res,bitrate,vmaf,time
19,6,480,1944,99.936774,4.063
19,6,720,2638,99.937975,5.822
19,7,480,1995,99.930262,3.449
19,7,720,2933,99.935501,5.122
19,8,480,2065,99.925548,2.809
19,8,720,2957,99.917638,3.604
19,9,480,2263,99.920742,2.069
19,9,720,2938,99.916251,3.090
19,10,480,2294,99.923158,1.706
19,10,720,2959,99.908253,2.434
20,4,480,1666,99.937496,5.828
20,4,720,2209,99.938915,9.889
20,5,480,1711,99.933312,4.761
20,5,720,2283,99.937544,7.016
20,6,480,1846,99.933221,3.576
20,6,720,2510,99.933452,5.677
20,7,480,1892,99.926114,3.377
20,7,720,2779,99.932571,4.556
20,8,480,1961,99.922111,2.643
20,8,720,2802,99.915199,3.754
20,9,480,2152,99.916744,1.992
20,9,720,2795,99.911397,2.573
20,10,480,2182,99.918054,1.749
20,10,720,2812,99.898772,2.512
21,4,480,1601,99.932089,6.053
21,4,720,2122,99.935035,9.271
21,5,480,1643,99.930120,4.763
21,5,720,2194,99.933493,7.286
21,6,480,1770,99.929189,3.634
21,6,720,2413,99.931907,5.395
21,7,480,1814,99.924023,2.961
21,7,720,2662,99.928137,4.422
21,8,480,1881,99.920093,2.611
21,8,720,2691,99.912004,3.767
21,9,480,2071,99.914650,1.870
21,9,720,2678,99.909088,2.600
21,10,480,2099,99.915570,1.654
21,10,720,2699,99.892576,2.268
22,4,480,1531,99.929987,5.408
22,4,720,2034,99.932817,8.496
22,5,480,1576,99.928869,4.346
22,5,720,2106,99.930481,7.089
22,6,480,1694,99.927643,3.600
22,6,720,2308,99.927066,5.427
22,7,480,1742,99.922268,3.008
22,7,720,2530,99.924958,4.315
22,8,480,1809,99.919690,2.425
22,8,720,2561,99.908037,3.454
22,9,480,1953,99.909402,1.825
22,9,720,2539,99.905121,2.600
22,10,480,1972,99.911297,1.619
22,10,720,2553,99.877236,2.382
24,4,480,1406,99.922606,5.531
24,4,720,1870,99.926820,8.814
24,5,480,1457,99.919442,4.123
24,5,720,1956,99.925162,6.382
24,6,480,1575,99.920014,3.292
24,6,720,2137,99.920742,5.077
24,7,480,1603,99.914383,2.963
24,7,720,2323,99.915199,4.180
24,8,480,1666,99.913625,2.457
24,8,720,2335,99.898189,3.560
24,9,480,1808,99.901319,1.896
24,9,720,2330,99.895590,2.589
24,10,480,1827,99.898264,1.650
24,10,720,2335,99.852377,2.289
26,4,480,1237,99.914224,5.541
26,4,720,1649,99.916868,8.949
26,5,480,1278,99.909852,4.170
26,5,720,1722,99.914817,6.350
26,6,480,1378,99.909679,3.417
26,6,720,1877,99.910079,5.292
26,7,480,1407,99.903599,3.077
26,7,720,2017,99.901856,4.223
26,8,480,1463,99.899229,2.489
26,8,720,2038,99.876222,3.511
26,9,480,1563,99.880027,2.023
26,9,720,2078,99.876126,2.799
26,10,480,1585,99.871494,1.737
26,10,720,2101,99.815634,2.250
27,4,480,1172,99.908197,5.495
27,4,720,1561,99.910556,9.706
27,5,480,1209,99.905598,4.455
27,5,720,1634,99.906942,6.428
27,6,480,1305,99.902215,3.454
27,6,720,1780,99.901704,5.211
27,7,480,1335,99.899830,3.241
27,7,720,1909,99.891240,4.495
27,8,480,1384,99.891801,2.642
27,8,720,1929,99.867928,3.641
27,9,480,1480,99.867971,1.912
27,9,720,1956,99.859475,2.663
27,10,480,1506,99.863546,1.721
27,10,720,1986,99.791158,2.433
29,4,480,1060,99.896250,5.901
29,4,720,1416,99.897787,9.622
29,5,480,1092,99.889998,4.154
29,5,720,1480,99.895901,6.942
29,6,480,1175,99.889220,3.408
29,6,720,1610,99.891286,5.307
29,7,480,1205,99.883474,3.117
29,7,720,1715,99.867767,4.196
29,8,480,1248,99.877430,2.479
29,8,720,1733,99.840577,3.524
29,9,480,1336,99.831231,1.979
29,9,720,1760,99.822985,2.659
29,10,480,1359,99.824261,1.640
29,10,720,1787,99.734761,2.385
30,4,480,1012,99.887585,6.131
30,4,720,1353,99.894009,9.617
30,5,480,1041,99.879688,4.077
30,5,720,1414,99.884547,6.358
30,6,480,1115,99.879373,3.426
30,6,720,1531,99.880733,5.186
30,7,480,1145,99.872220,3.150
30,7,720,1624,99.853678,4.393
30,8,480,1183,99.866115,2.487
30,8,720,1646,99.825507,3.454
30,9,480,1262,99.816084,1.911
30,9,720,1667,99.796422,2.656
30,10,480,1278,99.807318,1.679
30,10,720,1698,99.700755,2.284
31,4,480,948,99.880345,5.591
31,4,720,1273,99.880528,9.672
31,5,480,976,99.872727,4.070
31,5,720,1328,99.871299,6.766
31,6,480,1048,99.866981,3.612
31,6,720,1438,99.868038,5.344
31,7,480,1075,99.858843,3.059
31,7,720,1525,99.837798,4.669
31,8,480,1114,99.852956,2.747
31,8,720,1546,99.802207,3.747
31,9,480,1177,99.804933,1.988
31,9,720,1561,99.780386,2.718
31,10,480,1191,99.775890,1.691
31,10,720,1582,99.648042,2.371
33,4,480,840,99.835122,6.485
33,4,720,1144,99.849045,11.541
33,5,480,866,99.829716,4.570
33,5,720,1186,99.839072,7.127
33,6,480,924,99.832350,3.901
33,6,720,1282,99.823159,5.978
33,7,480,950,99.819787,3.367
33,7,720,1354,99.788793,4.721
33,8,480,984,99.801493,2.586
33,8,720,1375,99.757011,3.794
33,9,480,1044,99.718778,2.075
33,9,720,1377,99.681829,2.647
33,10,480,1068,99.668561,1.728
33,10,720,1406,99.522938,2.622
34,4,480,799,99.825612,6.299
34,4,720,1088,99.840691,11.192
34,5,480,822,99.810700,4.473
34,5,720,1127,99.825742,7.591
34,6,480,878,99.803915,3.893
34,6,720,1216,99.806848,5.973
34,7,480,902,99.792525,3.350
34,7,720,1284,99.760775,4.594
34,8,480,933,99.774171,2.688
34,8,720,1306,99.719510,3.850
34,9,480,989,99.680536,2.024
34,9,720,1297,99.625153,2.817
34,10,480,1014,99.627369,1.745
34,10,720,1319,99.435516,2.477
37,4,480,674,99.732650,6.140
37,4,720,930,99.760863,11.304
37,5,480,692,99.699453,4.356
37,5,720,959,99.732946,7.488
37,6,480,734,99.696756,3.756
37,6,720,1025,99.710625,6.166
37,7,480,754,99.677025,3.591
37,7,720,1079,99.638667,4.710
37,8,480,781,99.627136,2.553
37,8,720,1104,99.544839,3.831
37,9,480,824,99.434944,1.937
37,9,720,1093,99.331261,2.728
37,10,480,841,99.299346,1.649
37,10,720,1100,98.994780,2.272
39,4,480,603,99.627569,6.096
39,4,720,841,99.678050,11.290
39,5,480,619,99.569919,4.234
39,5,720,865,99.630413,7.259
39,6,480,655,99.549262,3.702
39,6,720,920,99.581636,5.691
39,7,480,671,99.518037,3.159
39,7,720,963,99.476084,4.655
39,8,480,696,99.444334,2.568
39,8,720,985,99.315879,3.820
39,9,480,733,99.133422,1.950
39,9,720,975,98.991325,2.797
39,10,480,749,98.931353,1.775
39,10,720,981,98.445012,2.395
41,4,480,539,99.451847,6.838
41,4,720,756,99.529816,13.048
41,5,480,556,99.364300,4.436
41,5,720,780,99.459971,7.915
41,6,480,587,99.321944,4.044
41,6,720,828,99.387245,6.105
41,7,480,602,99.280652,3.307
41,7,720,864,99.212770,4.784
41,8,480,613,99.211479,2.857
41,8,720,881,99.042595,4.255
41,9,480,651,98.619278,1.944
41,9,720,869,98.426259,2.863
41,10,480,669,98.312619,1.879
41,10,720,874,97.638991,2.583
43,4,480,485,99.146284,7.217
43,4,720,687,99.260688,12.899
43,5,480,501,99.031441,4.324
43,5,720,705,99.148039,7.999
43,6,480,525,98.951860,3.838
43,6,720,745,99.018207,6.452
43,7,480,537,98.882415,3.539
43,7,720,773,98.769843,5.373
43,8,480,549,98.774295,2.865
43,8,720,793,98.495872,4.223
43,9,480,582,97.908468,2.029
43,9,720,777,97.530490,2.926
43,10,480,598,97.507474,1.784
43,10,720,781,96.616113,2.713
44,4,480,455,98.918005,7.600
44,4,720,652,99.055726,12.621
44,5,480,469,98.753325,4.500
44,5,720,667,98.915881,8.420
44,6,480,493,98.749479,4.070
44,6,720,704,98.828559,6.815
44,7,480,506,98.616117,3.297
44,7,720,724,98.532026,5.023
44,8,480,521,98.492399,2.520
44,8,720,751,98.168974,4.159
44,9,480,551,97.680903,2.135
44,9,720,733,97.149546,2.965
44,10,480,566,97.031984,1.804
44,10,720,735,95.935723,2.478
45,4,480,432,98.656007,7.474
45,4,720,618,98.818094,12.507
45,5,480,445,98.447472,4.357
45,5,720,634,98.663189,7.547
45,6,480,467,98.452756,3.744
45,6,720,667,98.550094,6.113
45,7,480,478,98.294226,3.138
45,7,720,684,98.163760,4.962
45,8,480,492,98.101934,2.698
45,8,720,710,97.723873,4.118
45,9,480,520,97.161048,1.893
45,9,720,692,96.534990,2.639
45,10,480,534,96.463583,1.645
45,10,720,694,95.206851,2.295
46,4,480,410,98.359792,6.975
46,4,720,590,98.577543,13.221
46,5,480,421,98.143541,5.088
46,5,720,602,98.373761,9.042
46,6,480,443,98.081365,4.736
46,6,720,634,98.207200,6.909
46,7,480,453,97.912814,3.346
46,7,720,650,97.754421,5.026
46,8,480,467,97.695777,2.613
46,8,720,674,97.179386,3.761
46,9,480,491,96.588337,2.167
46,9,720,655,95.824660,3.253
46,10,480,503,95.638465,1.911
46,10,720,655,94.405663,2.765
47,4,480,390,97.990949,7.084
47,4,720,564,98.229619,12.538
47,5,480,400,97.763523,5.286
47,5,720,576,97.999611,9.221
47,6,480,420,97.694384,4.263
47,6,720,604,97.824443,6.703
47,7,480,430,97.438899,3.124
47,7,720,617,97.303097,4.901
47,8,480,442,97.142020,2.576
47,8,720,640,96.600829,3.868
47,9,480,463,95.970298,2.121
47,9,720,618,95.008298,2.801
47,10,480,475,94.971547,1.755
47,10,720,621,93.479851,2.568
48,4,480,371,97.522185,7.293
48,4,720,537,97.817872,13.211
48,5,480,381,97.329915,5.059
48,5,720,548,97.586460,8.544
48,6,480,397,97.156420,3.939
48,6,720,573,97.381215,6.522
48,7,480,406,96.892105,3.231
48,7,720,583,96.689189,5.374
48,8,480,417,96.486422,2.694
48,8,720,607,95.879160,4.206
48,9,480,438,95.160921,2.201
48,9,720,585,94.067013,3.242
48,10,480,446,94.100129,1.944
48,10,720,582,92.466342,2.858
49,4,480,353,97.076326,8.192
49,4,720,511,97.416957,15.129
49,5,480,360,96.914840,6.110
