crf,preset,res,bitrate,vmaf,time
19,8,720,757,96.402052,52.733
19,9,480,477,96.541720,36.124
19,9,720,751,95.416593,45.083
19,10,480,472,95.956808,33.315
19,10,720,729,94.749258,40.765
20,4,480,350,97.109113,61.977
20,4,720,562,97.088748,99.223
20,5,480,357,97.006029,50.855
20,5,720,574,96.980980,76.661
20,6,480,381,97.028736,44.281
20,6,720,636,96.913492,59.953
20,7,480,397,96.890966,41.277
20,7,720,703,96.583608,50.308
20,8,480,426,96.885995,37.224
20,8,720,710,96.234438,43.472
20,9,480,450,96.378010,33.566
20,9,720,715,95.222046,38.300
20,10,480,447,95.799494,31.094
20,10,720,692,94.530918,34.899
21,4,480,334,97.018315,62.023
21,4,720,535,97.001307,98.948
21,5,480,341,96.917510,49.956
21,5,720,548,96.891520,76.200
21,6,480,364,96.937006,43.442
21,6,720,605,96.827513,58.811
21,7,480,378,96.796731,40.158
21,7,720,667,96.470567,49.655
21,8,480,407,96.777176,35.661
21,8,720,678,96.119477,42.220
21,9,480,428,96.259682,31.359
21,9,720,675,95.094926,36.656
21,10,480,425,95.652167,29.261
21,10,720,656,94.380663,35.359
22,4,480,320,96.928070,60.605
22,4,720,510,96.908567,99.957
22,5,480,326,96.812939,48.641
22,5,720,522,96.793235,77.020
22,6,480,347,96.838276,44.124
22,6,720,574,96.720030,59.479
22,7,480,361,96.694935,38.496
22,7,720,632,96.354325,49.414
22,8,480,388,96.683355,34.792
22,8,720,645,95.995684,42.954
22,9,480,412,96.154314,31.393
22,9,720,645,94.912106,36.039
22,10,480,409,95.552147,28.420
22,10,720,625,94.135317,34.157
24,4,480,293,96.722601,61.542
24,4,720,463,96.702558,100.468
24,5,480,300,96.580136,46.860
24,5,720,478,96.561207,74.329
24,6,480,319,96.611366,41.409
24,6,720,523,96.501911,58.933
24,7,480,329,96.464984,38.394
24,7,720,569,96.100725,50.207
24,8,480,353,96.456098,34.868
24,8,720,582,95.748939,43.016
24,9,480,377,95.873653,30.563
24,9,720,585,94.572951,36.619
24,10,480,375,95.270463,27.880
24,10,720,566,93.723959,34.751
26,4,480,257,96.358911,61.701
26,4,720,402,96.335588,100.838
26,5,480,262,96.194707,46.631
26,5,720,414,96.163249,73.675
26,6,480,276,96.209242,41.583
26,6,720,449,96.097035,59.742
26,7,480,285,96.050833,38.611
26,7,720,485,95.641049,50.478
26,8,480,307,96.020860,35.030
26,8,720,502,95.259078,43.790
26,9,480,327,95.370362,30.233
26,9,720,511,94.005722,37.542
26,10,480,326,94.766396,27.695
26,10,720,496,93.132453,35.335
27,4,480,243,96.186839,62.449
27,4,720,379,96.167338,100.903
27,5,480,248,96.004745,46.756
27,5,720,390,95.978266,73.326
27,6,480,261,96.017034,42.210
27,6,720,422,95.909698,60.229
27,7,480,271,95.859246,38.923
27,7,720,454,95.427221,53.960
27,8,480,290,95.829018,44.307
27,8,720,472,95.041145,49.922
27,9,480,308,95.132284,34.839
27,9,720,476,93.723960,49.232
27,10,480,308,94.531989,31.871
27,10,720,463,92.799344,39.509
29,4,480,220,95.844208,80.478
29,4,720,341,95.795805,128.724
29,5,480,224,95.626034,53.401
29,5,720,350,95.598583,85.402
29,6,480,234,95.623090,45.173
29,6,720,376,95.523528,62.829
29,7,480,242,95.439318,42.996
29,7,720,402,94.988393,55.306
29,8,480,260,95.416861,36.303
29,8,720,422,94.601786,43.808
29,9,480,274,94.612202,36.210
29,9,720,419,93.099066,39.236
29,10,480,275,94.024618,33.320
29,10,720,409,92.149803,39.724
30,4,480,210,95.653529,70.698
30,4,720,325,95.611607,114.130
30,5,480,213,95.417371,51.409
30,5,720,333,95.392331,80.301
30,6,480,221,95.405051,48.410
30,6,720,355,95.306378,71.188
30,7,480,229,95.230743,46.906
30,7,720,379,94.747124,57.224
30,8,480,246,95.178974,39.426
30,8,720,399,94.369338,48.246
30,9,480,259,94.338979,35.270
30,9,720,394,92.765079,42.362
30,10,480,260,93.727902,33.724
30,10,720,384,91.780594,40.606
31,4,480,197,95.387344,67.868
31,4,720,304,95.331262,102.487
31,5,480,200,95.142151,49.713
31,5,720,311,95.115326,74.436
31,6,480,207,95.116978,45.022
31,6,720,330,95.022804,62.241
31,7,480,215,94.920284,41.183
31,7,720,351,94.433803,53.315
31,8,480,230,94.870097,39.156
31,8,720,372,94.046725,46.785
31,9,480,240,93.957486,34.832
31,9,720,361,92.321102,41.626
31,10,480,240,93.324087,33.918
31,10,720,351,91.307644,40.116
33,4,480,176,94.820727,66.979
33,4,720,271,94.796838,102.460
33,5,480,178,94.533780,48.905
33,5,720,275,94.508533,75.742
33,6,480,183,94.468386,43.847
33,6,720,290,94.415165,61.365
33,7,480,189,94.273503,41.144
33,7,720,306,93.752361,53.998
33,8,480,204,94.208519,37.925
33,8,720,327,93.366453,45.568
33,9,480,211,93.212928,34.465
33,9,720,313,91.391207,40.632
33,10,480,212,92.615417,32.626
33,10,720,307,90.326203,38.802
34,4,480,168,94.565258,67.982
34,4,720,257,94.523231,101.004
34,5,480,169,94.246190,48.198
34,5,720,261,94.225918,73.952
34,6,480,173,94.168722,43.133
34,6,720,273,94.109719,60.391
34,7,480,179,93.972346,39.716
34,7,720,288,93.445002,51.767
34,8,480,194,93.912985,36.941
34,8,720,308,93.036595,44.533
34,9,480,200,92.890475,33.430
34,9,720,293,90.932800,39.398
34,10,480,201,92.273453,31.447
34,10,720,286,89.867349,37.885
37,4,480,142,93.552147,66.524
37,4,720,217,93.535052,99.971
37,5,480,143,93.190704,47.221
37,5,720,220,93.171889,71.637
37,6,480,145,93.031818,42.358
37,6,720,227,92.977641,60.456
37,7,480,149,92.769677,38.726
37,7,720,238,92.249330,50.730
37,8,480,162,92.730725,34.148
37,8,720,256,91.827558,42.522
37,9,480,164,91.390474,30.607
37,9,720,238,89.225110,36.892
37,10,480,165,90.887586,30.123
37,10,720,232,88.223417,35.330
39,4,480,129,92.807142,65.898
39,4,720,196,92.797853,98.987
39,5,480,129,92.396642,46.390
39,5,720,198,92.429398,71.212
39,6,480,129,92.178702,40.878
39,6,720,202,92.179794,58.694
39,7,480,133,91.903628,36.778
39,7,720,210,91.356874,49.356
39,8,480,144,91.837341,33.357
39,8,720,227,90.919143,41.880
39,9,480,144,90.300068,29.732
39,9,720,207,88.006397,36.610
39,10,480,146,89.825127,28.306
39,10,720,203,87.012887,33.738
41,4,480,116,91.998788,67.156
41,4,720,176,92.030292,101.694
41,5,480,116,91.576578,46.522
41,5,720,177,91.622911,72.211
41,6,480,115,91.242304,40.959
41,6,720,179,91.274556,60.347
41,7,480,119,90.914012,36.710
41,7,720,186,90.404279,49.822
41,8,480,129,90.899111,33.303
41,8,720,200,90.070491,41.954
41,9,480,127,89.187610,29.643
41,9,720,180,86.695219,35.352
41,10,480,129,88.866262,28.262
41,10,720,177,85.656579,33.637
43,4,480,104,91.039738,66.001
43,4,720,158,91.121001,101.046
43,5,480,105,90.641396,47.327
43,5,720,159,90.681291,73.813
43,6,480,104,90.213687,40.749
43,6,720,160,90.268494,60.571
43,7,480,106,89.849231,36.366
43,7,720,165,89.305793,50.103
43,8,480,116,89.802151,32.644
43,8,720,179,88.996241,42.333
43,9,480,113,87.957633,29.080
43,9,720,158,85.270410,35.715
43,10,480,115,87.657975,27.624
43,10,720,155,84.187388,33.587
44,4,480,99,90.607060,67.805
44,4,720,150,90.646163,102.376
44,5,480,99,90.154417,48.168
44,5,720,151,90.204984,75.562
44,6,480,98,89.756784,42.256
44,6,720,151,89.847587,61.785
44,7,480,100,89.337193,37.010
44,7,720,156,88.804173,51.141
44,8,480,110,89.324280,33.671
44,8,720,168,88.431393,43.416
44,9,480,107,87.328786,29.818
44,9,720,148,84.667097,36.689
44,10,480,109,87.114631,28.274
44,10,720,146,83.498715,34.939
45,4,480,94,90.082023,68.240
45,4,720,143,90.172402,102.479
45,5,480,94,89.603142,48.967
45,5,720,143,89.698802,74.191
45,6,480,93,89.151898,43.351
45,6,720,143,89.276988,62.430
45,7,480,95,88.738026,37.157
45,7,720,147,88.175644,51.911
45,8,480,104,88.696025,34.048
45,8,720,159,87.851157,44.277
45,9,480,100,86.687013,29.638
45,9,720,139,83.921287,37.027
45,10,480,103,86.399591,28.610
45,10,720,137,82.727644,34.910
46,4,480,90,89.644244,70.878
46,4,720,136,89.676548,106.361
46,5,480,90,89.184891,50.614
46,5,720,136,89.221284,78.275
46,6,480,88,88.564541,43.449
46,6,720,136,88.696177,64.196
46,7,480,90,88.125503,37.669
46,7,720,139,87.596937,52.977
46,8,480,98,88.094627,34.437
46,8,720,151,87.249335,45.184
46,9,480,95,86.010420,30.574
46,9,720,131,83.224217,37.931
46,10,480,97,85.685611,29.060
46,10,720,129,81.989124,35.560
47,4,480,86,89.146034,70.941
47,4,720,130,89.247327,107.602
