crf,preset,res,bitrate,vmaf,time
19,5,720,3109,99.707457,141.995
19,6,480,2095,99.683826,71.814
19,6,720,3567,99.702511,104.530
19,7,480,2148,99.645453,59.689
19,7,720,3823,99.662101,83.117
19,8,480,2277,99.630457,50.689
19,8,720,3869,99.609112,66.416
19,9,480,2589,99.379932,42.130
19,9,720,3726,99.313045,53.649
19,10,480,2722,99.147868,38.583
19,10,720,3816,99.015132,48.548
20,4,480,1748,99.663596,116.187
20,4,720,2856,99.697123,190.736
20,5,480,1816,99.647871,92.936
20,5,720,2951,99.680360,145.468
20,6,480,1974,99.654548,73.366
20,6,720,3355,99.670799,106.742
20,7,480,2023,99.609227,61.443
20,7,720,3590,99.624134,84.531
20,8,480,2149,99.594086,52.508
20,8,720,3640,99.564215,68.436
20,9,480,2446,99.319545,43.254
20,9,720,3554,99.253722,56.597
20,10,480,2576,99.078676,40.755
20,10,720,3634,98.913120,51.097
21,4,480,1675,99.637087,117.912
21,4,720,2730,99.673447,190.158
21,5,480,1738,99.619689,93.878
21,5,720,2823,99.655112,144.978
21,6,480,1886,99.628839,74.400
21,6,720,3201,99.647344,107.690
21,7,480,1934,99.581286,62.764
21,7,720,3420,99.595299,87.789
21,8,480,2057,99.565049,54.105
21,8,720,3483,99.530011,71.690
21,9,480,2329,99.267141,45.216
21,9,720,3386,99.202623,58.465
21,10,480,2458,99.018221,42.695
21,10,720,3473,98.846987,53.396
22,4,480,1599,99.611609,119.616
22,4,720,2600,99.647953,192.407
22,5,480,1656,99.593538,96.223
22,5,720,2689,99.631218,148.585
22,6,480,1799,99.599845,76.671
22,6,720,3031,99.621147,109.369
22,7,480,1844,99.552331,64.291
22,7,720,3229,99.563293,89.385
22,8,480,1967,99.529998,56.067
22,8,720,3303,99.487121,73.239
22,9,480,2220,99.219184,47.298
22,9,720,3228,99.130402,59.723
22,10,480,2334,98.945252,43.873
22,10,720,3293,98.718670,55.357
24,4,480,1474,99.546959,120.771
24,4,720,2388,99.587207,193.298
24,5,480,1521,99.523636,91.303
24,5,720,2466,99.562554,140.483
24,6,480,1655,99.529201,73.588
24,6,720,2770,99.553056,108.761
24,7,480,1685,99.479564,65.610
24,7,720,2932,99.482657,89.615
24,8,480,1798,99.458584,57.128
24,8,720,2993,99.394572,74.323
24,9,480,2038,99.089664,48.230
24,9,720,2948,98.988206,61.004
24,10,480,2147,98.780540,45.690
24,10,720,2995,98.496102,56.280
26,4,480,1284,99.414172,121.912
26,4,720,2072,99.462209,192.408
26,5,480,1322,99.378084,92.966
26,5,720,2140,99.423817,142.009
26,6,480,1434,99.384666,76.113
26,6,720,2377,99.412372,108.143
26,7,480,1458,99.327643,67.453
26,7,720,2494,99.311829,92.623
26,8,480,1558,99.292115,58.946
26,8,720,2567,99.199066,76.857
26,9,480,1732,98.829551,49.697
26,9,720,2600,98.725585,62.140
26,10,480,1830,98.458639,46.665
26,10,720,2650,98.150769,57.797
27,4,480,1212,99.343303,122.811
27,4,720,1952,99.395107,190.899
27,5,480,1247,99.296048,93.726
27,5,720,2015,99.348312,139.056
27,6,480,1352,99.304594,77.271
27,6,720,2235,99.336366,109.552
27,7,480,1384,99.239274,67.154
27,7,720,2351,99.222281,89.872
27,8,480,1468,99.204413,59.511
27,8,720,2417,99.102862,76.579
27,9,480,1635,98.688846,50.359
27,9,720,2431,98.553172,62.783
27,10,480,1733,98.303270,47.886
27,10,720,2482,97.953293,58.624
29,4,480,1087,99.179701,123.412
