crf,preset,res,bitrate,vmaf,time
19,5,480,3572,96.219842,125.184
19,5,720,7618,96.086559,187.487
19,6,480,3680,96.177697,105.627
19,6,720,8223,96.043464,146.196
19,7,480,3707,95.997753,96.059
19,7,720,9062,95.901826,126.137
19,8,480,3828,95.987115,86.853
19,8,720,7775,95.510715,109.314
19,9,480,4126,95.686331,84.069
19,9,720,7458,95.222285,100.987
19,10,480,3666,95.376492,76.202
19,10,720,6640,94.727125,88.367
20,4,480,3227,96.123766,156.793
20,4,720,6870,95.952495,237.918
20,5,480,3344,96.133521,128.116
20,5,720,7123,95.988154,187.002
20,6,480,3368,96.066229,111.049
20,6,720,7546,95.921588,148.024
20,7,480,3400,95.897500,98.588
20,7,720,8278,95.752375,133.728
20,8,480,3542,95.896341,86.132
20,8,720,7181,95.364645,109.681
20,9,480,3885,95.580135,77.328
20,9,720,7051,95.090467,97.754
20,10,480,3464,95.283767,74.111
20,10,720,6293,94.614818,89.068
21,4,480,3057,96.057373,163.517
21,4,720,6489,95.863177,252.279
21,5,480,3161,96.063442,131.624
21,5,720,6724,95.895144,192.767
21,6,480,3180,95.991367,110.227
21,6,720,7104,95.831873,145.648
21,7,480,3211,95.829906,91.098
21,7,720,7787,95.652864,121.798
21,8,480,3354,95.827741,83.126
21,8,720,6866,95.277676,105.886
21,9,480,3645,95.476075,74.619
21,9,720,6715,94.994394,91.164
21,10,480,3276,95.181671,73.438
21,10,720,6009,94.501532,86.581
22,4,480,2887,95.979712,150.938
22,4,720,6113,95.772272,235.321
22,5,480,2974,95.981933,125.919
22,5,720,6318,95.800748,181.237
22,6,480,2990,95.909080,127.826
22,6,720,6677,95.733631,172.711
22,7,480,3025,95.751957,110.417
22,7,720,7298,95.541747,133.165
22,8,480,3179,95.756497,103.545
22,8,720,6516,95.171005,134.632
22,9,480,3479,95.395376,75.614
22,9,720,6337,94.869128,89.529
22,10,480,3131,95.098646,73.081
22,10,720,5689,94.366424,85.569
24,4,480,2610,95.829574,146.506
24,4,720,5493,95.584010,228.025
24,5,480,2669,95.819888,119.545
24,5,720,5650,95.604957,181.137
24,6,480,2674,95.736207,102.373
24,6,720,5937,95.531469,140.932
24,7,480,2701,95.587163,92.211
24,7,720,6462,95.320732,123.545
24,8,480,2842,95.591585,85.068
24,8,720,5831,94.953900,111.606
24,9,480,3143,95.203124,78.960
24,9,720,5688,94.642288,95.477
24,10,480,2847,94.914642,76.870
24,10,720,5140,94.121901,89.172
26,4,480,2221,95.580483,152.431
26,4,720,4648,95.281532,235.918
26,5,480,2260,95.558670,120.413
26,5,720,4730,95.281310,184.350
26,6,480,2219,95.442189,101.800
26,6,720,4893,95.188085,138.814
26,7,480,2244,95.299630,90.565
26,7,720,5273,94.937625,121.076
26,8,480,2382,95.304660,82.398
26,8,720,4903,94.575119,103.275
26,9,480,2617,94.839734,73.930
26,9,720,4900,94.267966,89.173
26,10,480,2401,94.563306,71.807
26,10,720,4452,93.746983,84.485
27,4,480,2073,95.472564,151.550
27,4,720,4336,95.154813,229.014
27,5,480,2101,95.433795,117.039
27,5,720,4398,95.140328,180.316
27,6,480,2059,95.307494,101.143
27,6,720,4523,95.032092,138.025
27,7,480,2081,95.173865,89.489
27,7,720,4846,94.767421,120.083
27,8,480,2216,95.165935,81.872
27,8,720,4597,94.419560,102.422
