crf,preset,res,bitrate,vmaf,time
19,4,480,16335,99.672171,16.745
19,4,720,39607,99.664449,27.063
19,5,480,17463,99.669276,10.467
19,5,720,41666,99.670201,15.458
19,6,480,19897,99.696812,7.700
19,6,720,49104,99.710470,11.920
19,7,480,19946,99.686970,7.720
19,7,720,50373,99.658516,10.412
19,8,480,21267,99.693296,6.493
19,8,720,50620,99.648507,9.340
19,9,480,23686,99.609287,4.325
19,9,720,47491,99.571908,6.989
19,10,480,22585,99.332919,3.363
19,10,720,46494,99.406315,5.636
20,4,480,15446,99.652272,17.516
20,4,720,37461,99.645118,27.079
20,5,480,16386,99.644319,10.032
20,5,720,39282,99.650180,16.189
20,6,480,18572,99.676308,7.469
20,6,720,46012,99.685687,11.320
20,7,480,18629,99.668450,7.257
20,7,720,47124,99.633112,10.050
20,8,480,19953,99.677185,6.287
20,8,720,47451,99.612488,8.752
20,9,480,22380,99.576893,3.969
20,9,720,45224,99.547547,6.652
20,10,480,21218,99.233080,3.364
20,10,720,43931,99.371426,5.467
21,4,480,14650,99.633698,16.245
21,4,720,35514,99.623684,27.443
21,5,480,15548,99.626985,10.079
21,5,720,37296,99.629912,15.717
21,6,480,17630,99.659859,7.544
21,6,720,43882,99.672622,11.540
21,7,480,17703,99.649273,7.426
21,7,720,44865,99.610031,10.326
21,8,480,18989,99.654528,6.421
21,8,720,45380,99.591679,9.030
21,9,480,21253,99.542358,4.025
21,9,720,43027,99.525015,6.537
21,10,480,20249,99.167223,3.428
21,10,720,42190,99.344756,5.480
22,4,480,13752,99.611942,16.280
22,4,720,33212,99.602694,26.481
22,5,480,14593,99.609210,10.190
22,5,720,34894,99.608443,15.981
22,6,480,16753,99.642363,7.972
22,6,720,41520,99.656863,12.194
22,7,480,16814,99.632971,7.357
22,7,720,42375,99.580605,10.110
22,8,480,18027,99.642723,6.215
22,8,720,42934,99.571293,9.314
22,9,480,20332,99.504990,4.087
22,9,720,40911,99.490693,6.811
22,10,480,19296,99.077631,3.671
22,10,720,39830,99.286931,5.722
24,4,480,12423,99.560225,16.304
24,4,720,29828,99.556112,22.667
24,5,480,12822,99.550821,10.772
24,5,720,30838,99.561409,16.296
24,6,480,14946,99.588532,7.609
24,6,720,37313,99.614962,11.506
24,7,480,15046,99.567093,7.835
24,7,720,38013,99.525999,10.098
24,8,480,16124,99.588596,6.461
24,8,720,38680,99.512579,9.812
24,9,480,18438,99.403562,3.959
24,9,720,37134,99.432171,6.175
24,10,480,17635,98.885192,3.390
24,10,720,36256,99.183781,5.193
26,4,480,10329,99.394661,15.634
26,4,720,24834,99.464060,24.683
26,5,480,10631,99.386840,12.506
26,5,720,25555,99.481079,17.386
26,6,480,12518,99.448121,8.850
26,6,720,31270,99.533209,12.439
26,7,480,12633,99.415642,7.466
26,7,720,31779,99.408966,10.871
26,8,480,13479,99.428566,6.156
26,8,720,32440,99.393022,9.899
26,9,480,15672,99.144332,4.364
26,9,720,32182,99.310018,6.869
26,10,480,15208,98.524240,3.891
26,10,720,31817,98.943623,6.037
27,4,480,9542,99.277729,17.337
27,4,720,22980,99.424419,24.856
27,5,480,9818,99.277196,12.618
27,5,720,23572,99.423208,17.767
27,6,480,11619,99.366107,8.130
27,6,720,28981,99.487703,12.423
27,7,480,11741,99.333434,8.341
27,7,720,29412,99.324436,10.839
27,8,480,12506,99.335002,6.606
27,8,720,30189,99.320951,8.590
27,9,480,14663,99.005705,4.122
27,9,720,29850,99.218279,6.573
